==============================
iter time: 5
==========
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| #  |  atom1   |  atom2   |  atom3   |  atom4   |  atom5   |  atom6   |  atom7   |  atom8   |  atom9   |  atom10  |  atom11  |  atom12  |  atom13  |  atom14  |  atom15  |  atom16  |  atom17  |  atom18  |  atom19  |  atom20  |  atom21  |  atom22  |  atom23  |  atom24  |  atom25  |
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| 1  | -0.12006 | -0.12016 | -0.12041 | -0.12043 | -0.12041 | -0.12047 | -0.12037 | -0.12036 | -0.12036 | -0.12036 | -0.12036 | -0.12036 | -0.12036 | -0.12036 | -0.12036 | -0.12036 | -0.12017 | -0.12007 | -0.12033 | -0.12019 | -0.12016 | -0.12032 | -0.12033 | -0.12033 | -0.12032 |
| 2  | -0.12139 | -0.1214  | -0.12143 | -0.12124 | -0.12136 | -0.12118 | -0.12127 | -0.12126 | -0.12126 | -0.12126 | -0.12126 | -0.12126 | -0.12126 | -0.12126 | -0.12126 | -0.12126 | -0.1219  | -0.12228 | -0.12223 | -0.12211 | -0.12216 | -0.12221 | -0.12229 | -0.12229 | -0.12232 |
| 3  | -0.12054 | -0.12055 | -0.12107 | -0.12126 | -0.1215  | -0.12113 | -0.12122 | -0.12119 | -0.12119 | -0.12119 | -0.12119 | -0.12119 | -0.12119 | -0.12119 | -0.12119 | -0.12119 | -0.12217 | -0.12186 | -0.12191 | -0.12167 |  -0.122  | -0.12193 | -0.12208 | -0.12207 | -0.12208 |
| 4  | -0.12612 | -0.12622 | -0.12629 | -0.12625 | -0.12627 | -0.12634 | -0.12617 | -0.12614 | -0.12614 | -0.12614 | -0.12614 | -0.12614 | -0.12614 | -0.12614 | -0.12614 | -0.12614 | -0.12626 | -0.12595 | -0.12624 | -0.12624 | -0.12624 | -0.12617 | -0.1262  | -0.12619 | -0.12616 |
| 5  | -0.1262  | -0.12604 | -0.12574 | -0.12561 | -0.12568 | -0.12563 | -0.12563 | -0.12561 | -0.12561 | -0.12561 | -0.12561 | -0.12561 | -0.12561 | -0.12561 | -0.12561 | -0.12561 | -0.12617 | -0.12581 | -0.12599 | -0.12606 | -0.12583 | -0.12578 | -0.12581 | -0.1258  | -0.1258  |
| 6  | -0.12772 | -0.12746 | -0.12731 | -0.12695 | -0.12708 | -0.12697 | -0.12707 | -0.12705 | -0.12705 | -0.12705 | -0.12705 | -0.12705 | -0.12705 | -0.12705 | -0.12705 | -0.12705 | -0.12731 | -0.12791 | -0.12749 | -0.12763 | -0.12787 | -0.12759 | -0.12771 | -0.12769 | -0.12766 |
| 7  | -0.12554 | -0.12562 | -0.12588 | -0.12593 | -0.12579 | -0.12587 | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.1259  | -0.12592 | -0.12671 | -0.12673 | -0.12636 | -0.12653 | -0.12636 | -0.12658 | -0.12658 | -0.12654 |
| 8  | -0.12625 | -0.12627 | -0.1261  | -0.1261  | -0.12612 | -0.12594 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12622 | -0.12617 | -0.12732 | -0.1275  | -0.12747 | -0.12739 | -0.12724 | -0.12738 | -0.12739 | -0.12733 |
| 9  | -0.12088 | -0.12093 | -0.12121 | -0.1214  | -0.12135 | -0.1214  | -0.12141 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12116 | -0.12162 | -0.12164 | -0.1217  | -0.12176 | -0.12172 | -0.1217  | -0.1217  | -0.12172 |
| 10 | -0.12132 | -0.12136 | -0.12218 | -0.12232 | -0.12237 | -0.12246 | -0.12232 | -0.12231 | -0.12231 | -0.12231 | -0.12231 | -0.12231 | -0.12231 | -0.12231 | -0.12231 | -0.12231 | -0.12266 | -0.12311 | -0.12275 | -0.12306 | -0.12314 | -0.12285 | -0.12298 | -0.12298 | -0.12296 |
| 11 | -0.1209  | -0.12102 | -0.12228 | -0.12215 | -0.12226 | -0.12217 | -0.12211 | -0.12212 | -0.12212 | -0.12212 | -0.12212 | -0.12212 | -0.12212 | -0.12212 | -0.12212 | -0.12212 | -0.12236 | -0.12273 | -0.12257 | -0.12284 | -0.12309 | -0.12273 | -0.12283 | -0.12283 | -0.12283 |
| 12 | -0.12675 | -0.12683 | -0.12698 | -0.12679 | -0.1268  | -0.12692 | -0.12678 | -0.12679 | -0.12679 | -0.12679 | -0.12679 | -0.12679 | -0.12679 | -0.12679 | -0.12679 | -0.12679 | -0.12696 | -0.12685 | -0.12688 | -0.12716 |  -0.127  | -0.12681 | -0.12681 | -0.12682 | -0.12679 |
| 13 | -0.12897 | -0.12888 | -0.12876 | -0.12842 | -0.12844 | -0.12845 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12848 | -0.12883 | -0.12847 | -0.12839 | -0.12847 | -0.12834 | -0.12831 | -0.1283  | -0.1283  | -0.12828 |
| 14 | -0.12719 | -0.12707 | -0.12746 | -0.1273  | -0.1273  | -0.1273  | -0.12737 | -0.12738 | -0.12738 | -0.12738 | -0.12738 | -0.12738 | -0.12738 | -0.12738 | -0.12738 | -0.12738 | -0.12795 | -0.12768 | -0.12758 | -0.12743 | -0.12733 | -0.12731 | -0.12733 | -0.12733 | -0.12733 |
| 15 | -0.12828 | -0.12836 | -0.12818 | -0.12787 | -0.12783 | -0.12772 | -0.1279  | -0.12794 | -0.12794 | -0.12794 | -0.12794 | -0.12794 | -0.12794 | -0.12794 | -0.12794 | -0.12794 | -0.12765 | -0.12797 | -0.12798 | -0.12795 | -0.1281  | -0.12801 | -0.12796 | -0.12797 | -0.12795 |
| 16 | -0.1258  | -0.12564 | -0.12576 | -0.12551 | -0.12555 | -0.12537 | -0.12552 | -0.12556 | -0.12556 | -0.12556 | -0.12556 | -0.12556 | -0.12556 | -0.12556 | -0.12556 | -0.12556 | -0.12504 | -0.12611 | -0.12628 | -0.12613 | -0.12614 | -0.12597 | -0.1261  | -0.12611 | -0.12612 |
| 17 | -0.11669 | -0.11675 | -0.11824 | -0.11859 | -0.11865 | -0.11846 | -0.11852 | -0.11849 | -0.11849 | -0.11849 | -0.11849 | -0.11849 | -0.11849 | -0.11849 | -0.11849 | -0.11849 | -0.11818 | -0.11809 | -0.11819 | -0.11787 | -0.11804 | -0.11826 | -0.11815 | -0.11815 | -0.11819 |
| 18 | -0.12096 | -0.12088 | -0.12218 | -0.12236 | -0.12242 | -0.12238 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12233 | -0.12245 | -0.12236 | -0.12198 | -0.12218 | -0.12229 | -0.1222  | -0.12216 | -0.12216 | -0.12221 |
| 19 | -0.12374 | -0.12386 | -0.1243  | -0.12436 | -0.12429 | -0.12407 | -0.12421 | -0.1242  | -0.1242  | -0.1242  | -0.1242  | -0.1242  | -0.1242  | -0.1242  | -0.1242  | -0.1242  | -0.12398 | -0.12421 | -0.12388 | -0.12402 | -0.12392 | -0.12395 | -0.12396 | -0.12395 | -0.12398 |
| 20 | -0.12979 | -0.12987 | -0.12928 | -0.12924 | -0.12903 | -0.12925 | -0.12926 | -0.12927 | -0.12927 | -0.12927 | -0.12927 | -0.12927 | -0.12927 | -0.12927 | -0.12927 | -0.12927 | -0.12859 | -0.12795 | -0.12817 | -0.12816 | -0.12803 | -0.12809 | -0.12799 |  -0.128  | -0.12799 |
| 21 | -0.12948 | -0.12945 | -0.12904 | -0.12869 | -0.12891 | -0.1289  | -0.12891 | -0.12889 | -0.12889 | -0.12889 | -0.12889 | -0.12889 | -0.12889 | -0.12889 | -0.12889 | -0.12889 | -0.12847 | -0.12816 | -0.12863 | -0.12858 | -0.12828 | -0.12835 | -0.12818 | -0.12818 | -0.12819 |
| 22 | -0.12926 | -0.12924 | -0.12833 | -0.12812 | -0.12816 | -0.12823 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12817 | -0.12759 | -0.12799 | -0.12747 | -0.12765 | -0.12744 | -0.1276  | -0.12753 | -0.12752 | -0.1275  |
| 23 | -0.12706 | -0.12713 | -0.12689 | -0.12664 | -0.12677 | -0.12675 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12671 | -0.12595 | -0.12659 | -0.12678 | -0.12645 | -0.12663 | -0.12671 | -0.12665 | -0.12664 | -0.12668 |
| 24 | -0.12784 | -0.12795 | -0.12805 | -0.12778 | -0.12773 | -0.12803 | -0.1278  | -0.12782 | -0.12782 | -0.12782 | -0.12782 | -0.12782 | -0.12782 | -0.12782 | -0.12782 | -0.12782 | -0.12744 |  -0.128  | -0.12808 | -0.12806 | -0.12829 |  -0.128  | -0.12801 | -0.12801 | -0.12803 |
| 25 | -0.11471 | -0.11474 | -0.11657 | -0.11681 | -0.11683 | -0.11685 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11675 | -0.11638 | -0.11639 | -0.1164  | -0.11622 | -0.11643 | -0.11656 | -0.11653 | -0.11653 | -0.11654 |
| 26 | -0.1202  | -0.12014 | -0.12167 | -0.12155 | -0.12155 | -0.12147 | -0.12143 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12142 | -0.12083 | -0.12128 | -0.12142 | -0.12109 | -0.12148 | -0.12138 | -0.12143 | -0.12143 | -0.12142 |
| 27 | -0.12381 | -0.12394 | -0.12372 | -0.12402 | -0.1239  | -0.1239  | -0.12393 | -0.12394 | -0.12394 | -0.12394 | -0.12394 | -0.12394 | -0.12394 | -0.12394 | -0.12394 | -0.12394 | -0.12312 | -0.12308 | -0.12327 | -0.12313 | -0.12343 | -0.12339 | -0.12333 | -0.12333 | -0.12335 |
| 28 | -0.12822 | -0.12829 | -0.12745 | -0.12736 | -0.12725 | -0.1275  | -0.12734 | -0.12733 | -0.12733 | -0.12733 | -0.12733 | -0.12733 | -0.12733 | -0.12733 | -0.12733 | -0.12733 | -0.12624 | -0.1264  | -0.12677 | -0.12666 | -0.12664 | -0.12662 | -0.1264  | -0.12642 | -0.12638 |
| 29 | -0.13124 | -0.13109 | -0.12932 | -0.12923 | -0.12925 | -0.1295  | -0.12932 | -0.12926 | -0.12926 | -0.12926 | -0.12926 | -0.12926 | -0.12926 | -0.12926 | -0.12926 | -0.12926 | -0.1288  | -0.12831 | -0.12874 | -0.12844 | -0.12845 | -0.12863 | -0.12846 | -0.12844 | -0.12844 |
| 30 | -0.13147 | -0.1314  | -0.13012 | -0.12994 | -0.12993 | -0.13006 |  -0.13   | -0.12998 | -0.12998 | -0.12998 | -0.12998 | -0.12998 | -0.12998 | -0.12998 | -0.12998 | -0.12998 | -0.12971 | -0.1298  | -0.12927 | -0.1297  | -0.12968 | -0.12962 | -0.12958 | -0.12959 | -0.12955 |
| 31 | -0.13169 | -0.13157 | -0.13152 | -0.13126 | -0.13135 | -0.13145 | -0.13138 | -0.13137 | -0.13137 | -0.13137 | -0.13137 | -0.13137 | -0.13137 | -0.13137 | -0.13137 | -0.13137 | -0.13081 | -0.13066 | -0.1309  | -0.13073 | -0.13103 | -0.13087 | -0.13078 | -0.13078 | -0.13075 |
| 32 | -0.13037 | -0.13036 | -0.13004 | -0.13047 | -0.13047 | -0.13047 | -0.1304  | -0.13041 | -0.13041 | -0.13041 | -0.13041 | -0.13041 | -0.13041 | -0.13041 | -0.13041 | -0.13041 | -0.1306  | -0.13041 | -0.13046 | -0.13054 | -0.1304  | -0.13053 | -0.13045 | -0.13046 | -0.13048 |
| 33 | -0.11582 | -0.11581 | -0.11674 | -0.1168  | -0.11688 | -0.11682 | -0.11682 | -0.11684 | -0.11684 | -0.11684 | -0.11684 | -0.11684 | -0.11684 | -0.11684 | -0.11684 | -0.11684 | -0.11653 | -0.11666 | -0.11686 | -0.11653 | -0.11659 | -0.11689 | -0.11677 | -0.11676 | -0.11674 |
| 34 | -0.11826 | -0.1182  | -0.11889 | -0.1191  | -0.11921 | -0.11907 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11912 | -0.11925 | -0.11877 | -0.11893 | -0.11872 | -0.11918 | -0.11906 | -0.11912 | -0.11914 | -0.11915 |
| 35 | -0.12432 | -0.12433 | -0.12318 | -0.12361 | -0.12358 | -0.12361 | -0.12361 | -0.12362 | -0.12362 | -0.12362 | -0.12362 | -0.12362 | -0.12362 | -0.12362 | -0.12362 | -0.12362 | -0.1234  | -0.12381 | -0.12416 | -0.12402 | -0.12403 |  -0.124  | -0.12405 | -0.12405 | -0.12409 |
| 36 | -0.12989 | -0.12986 | -0.12791 | -0.12787 | -0.1279  | -0.12791 | -0.12794 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12783 | -0.12788 | -0.12797 | -0.12814 | -0.12799 | -0.12787 | -0.12795 | -0.12794 | -0.12795 |
| 37 | -0.12957 | -0.12948 | -0.12778 | -0.12806 | -0.1278  | -0.12789 | -0.12796 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12854 | -0.12819 | -0.12805 | -0.12811 | -0.12771 | -0.12789 | -0.12788 | -0.12789 | -0.1279  |
| 38 | -0.13319 | -0.13313 | -0.13232 | -0.13228 | -0.13222 | -0.13239 | -0.13231 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.1321  | -0.13179 | -0.13145 | -0.13174 | -0.13142 | -0.13169 | -0.13157 | -0.13157 | -0.13155 |
| 39 | -0.13078 | -0.1307  | -0.13078 | -0.13114 | -0.13108 | -0.13109 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13087 | -0.13084 | -0.1306  | -0.13057 | -0.13041 | -0.13067 | -0.13056 | -0.13057 | -0.13059 |
| 40 | -0.12905 | -0.12913 | -0.12916 | -0.12934 | -0.12947 | -0.12948 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.13013 | -0.12973 | -0.12974 | -0.12995 | -0.1299  | -0.12993 | -0.12994 | -0.12995 | -0.12998 |
| 41 | -0.11576 | -0.11579 | -0.11616 | -0.11585 | -0.11601 | -0.11589 | -0.1159  | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11573 | -0.1158  | -0.1161  | -0.11586 | -0.11575 | -0.11604 | -0.11598 | -0.11599 | -0.11597 |
